"ENTITY_CD","SCHOOL_NAME","NUM_PRINC","NUM_TEACH","NUM_COUNSELORS","NUM_SOCIAL"
"110701060001","HOMER SENIOR HIGH SCHOOL",1,53,3,1
"110701060002","HOMER ELEMENTARY SCHOOL",1,27,0,1
"110701060003","HOMER INTERMEDIATE SCHOOL",1,37,0,1
"110701060006","HOMER JUNIOR HIGH SCHOOL",1,50,2,1
"110901040001","MARATHON HIGH SCHOOL",1,37,2,2
"110901040002","WILLIAM APPLEBY ELEMENTARY SCHOOL",1,42,0,1
"111111111111","All Public Schools",4970,204523,7212,3279
"120102040001","ANDES CENTRAL SCHOOL",1,17,1,0
"120301040001","DOWNSVILLE CENTRAL SCHOOL",1,32,1,0
"120401040001","CHARLOTTE VALLEY SCHOOL",1,40,0,0
"120501040001","DELAWARE ACADEMY ELEMENTARY SCHOOL",1,18,0,0
"120501040002","DELAWARE ACADEMY HIGH SCHOOL",1,33,0,0
"120701040001","FRANKLIN CENTRAL SCHOOL",1,28,1,0
"120906040001","HANCOCK ELEMENTARY SCHOOL",1,15,0,0
"120906040002","HANCOCK JUNIOR-SENIOR HIGH SCHOOL",1,31,0,0
"121401040001","MARGARETVILLE CENTRAL SCHOOL",1,39,2,0
"121502040001","ROXBURY CENTRAL SCHOOL",1,37,0,0
"121601060002","SIDNEY ELEMENTARY SCHOOL",1,46,3,0
"121601060005","SIDNEY MIDDLE SCHOOL",1,29,1,0
"121601060006","SIDNEY HIGH SCHOOL",1,35,2,0
"121701040001","STAMFORD CENTRAL SCHOOL",1,29,2,0
"121702040001","SOUTH KORTRIGHT CENTRAL SCHOOL",2,32,2,0
